--- Running Processes ---
PID: 23792 | Name: RuntimeBroker.exe
PID: 23088 | Name: svchost.exe
PID: 10632 | Name: RtkAudUService64.exe
PID: 9528 | Name: WidgetService.exe
PID: 10272 | Name: msedgewebview2.exe
PID: 22660 | Name: msedgewebview2.exe
PID: 10888 | Name: msedgewebview2.exe
PID: 7048 | Name: msedgewebview2.exe
PID: 28484 | Name: msedgewebview2.exe
PID: 11816 | Name: msedgewebview2.exe
PID: 13704 | Name: ctfmon.exe
PID: 28820 | Name: LockApp.exe
PID: 23760 | Name: NVIDIA Web Helper.exe
PID: 27204 | Name: RuntimeBroker.exe
PID: 10532 | Name: conhost.exe
PID: 26936 | Name: svchost.exe
PID: 7724 | Name: OmenCommandCenterBackground.exe
PID: 7596 | Name: TextInputHost.exe
PID: 2144 | Name: PhoneExperienceHost.exe
PID: 9920 | Name: CastSrv.exe
PID: 5240 | Name: unsecapp.exe
PID: 25780 | Name: nvsphelper64.exe
PID: 1780 | Name: NVIDIA Share.exe
PID: 15408 | Name: NVIDIA Share.exe
PID: 25220 | Name: NVIDIA Share.exe
PID: 9900 | Name: SecurityHealthSystray.exe
PID: 26320 | Name: RtkAudUService64.exe
PID: 21812 | Name: OneDrive.exe
PID: 18284 | Name: HPSystemEventUtilityBackground.exe
PID: 15596 | Name: HPMediaNetwork.exe
PID: 25824 | Name: HPAudioSwitch.exe
PID: 15008 | Name: steam.exe
PID: 24136 | Name: steamwebhelper.exe
PID: 10460 | Name: steamservice.exe
PID: 26088 | Name: steamwebhelper.exe
PID: 17280 | Name: steamwebhelper.exe
PID: 24896 | Name: steamwebhelper.exe
PID: 16084 | Name: steamwebhelper.exe
PID: 29388 | Name: steamwebhelper.exe
PID: 1976 | Name: steamwebhelper.exe
PID: 13620 | Name: UniKeyNT.exe
PID: 1884 | Name: DesktopExtension.exe
PID: 12672 | Name: HP.myHP.exe
PID: 20920 | Name: CrossDeviceService.exe
PID: 25672 | Name: RuntimeBroker.exe
PID: 3188 | Name: FileWatcher.exe
