--- Running Processes ---
PID: 14376 | Name: Widgets.exe
PID: 12468 | Name: RuntimeBroker.exe
PID: 17864 | Name: svchost.exe
PID: 15300 | Name: RuntimeBroker.exe
PID: 14168 | Name: WidgetService.exe
PID: 18756 | Name: NVIDIA Web Helper.exe
PID: 27292 | Name: SynTPEnh.exe
PID: 22948 | Name: conhost.exe
PID: 16648 | Name: msedgewebview2.exe
PID: 21568 | Name: msedgewebview2.exe
PID: 30428 | Name: msedgewebview2.exe
PID: 25756 | Name: msedgewebview2.exe
PID: 10440 | Name: msedgewebview2.exe
PID: 2560 | Name: msedgewebview2.exe
PID: 29124 | Name: ctfmon.exe
PID: 27380 | Name: svchost.exe
PID: 20100 | Name: HPQuickDrop.exe
PID: 28576 | Name: OmenCommandCenterBackground.exe
PID: 20456 | Name: TextInputHost.exe
PID: 19444 | Name: PhoneExperienceHost.exe
PID: 2500 | Name: RuntimeBroker.exe
PID: 18840 | Name: CastSrv.exe
PID: 14764 | Name: unsecapp.exe
PID: 5924 | Name: nvsphelper64.exe
PID: 29320 | Name: NVIDIA Share.exe
PID: 2544 | Name: NVIDIA Share.exe
PID: 30312 | Name: NVIDIA Share.exe
PID: 24524 | Name: SecurityHealthSystray.exe
PID: 6400 | Name: HPSystemEventUtilityBackground.exe
PID: 28556 | Name: HPMediaNetwork.exe
PID: 28856 | Name: RtkAudUService64.exe
PID: 21524 | Name: OneDrive.exe
PID: 25900 | Name: CocCocCrashHandler.exe
PID: 21400 | Name: CocCocCrashHandler64.exe
PID: 10680 | Name: HPAudioSwitch.exe
PID: 30780 | Name: steam.exe
PID: 28028 | Name: steamwebhelper.exe
PID: 22720 | Name: steamservice.exe
PID: 26980 | Name: steamwebhelper.exe
PID: 6312 | Name: steamwebhelper.exe
PID: 27972 | Name: steamwebhelper.exe
PID: 29272 | Name: steamwebhelper.exe
PID: 2304 | Name: steamwebhelper.exe
PID: 9780 | Name: steamwebhelper.exe
PID: 8328 | Name: UniKeyNT.exe
PID: 23508 | Name: FileWatcher.exe
PID: 28344 | Name: RuntimeBroker.exe
PID: 10500 | Name: svchost.exe
PID: 27372 | Name: CrossDeviceService.exe
PID: 30568 | Name: RuntimeBroker.exe
PID: 23288 | Name: DesktopExtension.exe
PID: 14920 | Name: HP.myHP.exe
PID: 28868 | Name: Cloudflare WARP.exe
PID: 12196 | Name: TabletService.exe
PID: 17652 | Name: ExpressVPNNotificationService.exe
PID: 13720 | Name: ApplicationFrameHost.exe
PID: 19600 | Name: svchost.exe
